HeapSort_Size 0, 500, 0, 0, 0
HeapSort_Size 1, 1200, 1, 1, 1
HeapSort_Size 10, 79900, 45, 25, 10
HeapSort_Size 50, 12500, 508, 245, 50
HeapSort_Size 100, 120700, 1252, 584, 100
HeapSort_Size 500, 161400, 9160, 4061, 500
HeapSort_Size 1000, 159100, 20718, 9068, 1000
HeapSort_Size 2000, 368300, 46491, 20140, 2000
HeapSort_Size 100, 2758300, 1259, 588, 100
HeapSort_Size 100, 367300, 1239, 574, 100
HeapSort_Size 100, 199800, 1256, 587, 100
HeapSort_Size 1000, 926900, 20765, 9078, 1000
HeapSort_Size 1000, 552400, 20760, 9084, 1000
HeapSort_Size 1000, 548200, 20890, 9149, 1000
HeapSort_Size 2000, 1200800, 46607, 20175, 2000
HeapSort_Size 2000, 1176100, 46521, 20141, 2000
HeapSort_Size 2000, 1168000, 46511, 20165, 2000
